Ride Name,Ride Category,Age Restriction,Height Restriction,Avg. Weekly Wait Time (Past 5 Years),Ride Duration(Minutes),Popularity,Park Open Hours,Ride Operation Timings
Disneyland Railroad,Transportation,Children under 7 must be accompanied by 14+ year old,None,15-25 min,22,Medium,8:00 AM to 12:00 AM,8:00 AM to 12:00 AM
Jungle Cruise,Boat Ride,Children under 7 must be accompanied by 14+ year old,None,20-30 min,8,Medium,8:00 AM to 12:00 AM,8:00 AM to 12:00 AM
Indiana Jones Adventure,Thrill Ride,Children under 7 must be accompanied by 14+ year old,"46"" (117 cm)",40-60 min,4,High,8:00 AM to 12:00 AM,8:00 AM to 12:00 AM
Pirates of the Caribbean,Boat Ride,Children under 7 must be accompanied by 14+ year old,None,25-35 min,16,Medium,8:00 AM to 12:00 AM,8:00 AM to 12:00 AM
Haunted Mansion,Dark Ride,Children under 7 must be accompanied by 14+ year old,None,30-40 min,9,High,8:00 AM to 12:00 AM,8:00 AM to 12:00 AM
Tiana's Bayou Adventure,Flume Ride,Children under 7 must be accompanied by 14+ year old,"40"" (102 cm)",45-75 min,7,High,8:00 AM to 12:00 AM,8:00 AM to 12:00 AM
Matterhorn Bobsleds,Roller Coaster,Children under 7 must be accompanied by 14+ year old,"42"" (107 cm)",30-45 min,2,Medium,8:00 AM to 12:00 AM,8:00 AM to 12:00 AM
Space Mountain,Roller Coaster,Children under 7 must be accompanied by 14+ year old,"40"" (102 cm)",50-70 min,3,High,8:00 AM to 12:00 AM,8:00 AM to 12:00 AM
Star Tours,Simulator,Children under 7 must be accompanied by 14+ year old,"40"" (102 cm)",25-35 min,5,Medium,8:00 AM to 12:00 AM,8:00 AM to 12:00 AM
Autopia,Driving,Children under 7 must be accompanied by 14+ year old,"32"" (81 cm) with supervision
54"" (137 cm) alone",20-30 min,6,Medium,8:00 AM to 12:00 AM,8:00 AM to 12:00 AM
Finding Nemo Submarine Voyage,Boat Ride,Children under 7 must be accompanied by 14+ year old,None,20-30 min,14,Medium,8:00 AM to 12:00 AM,8:00 AM to 12:00 AM
Buzz Lightyear Astro Blasters,Interactive,Children under 7 must be accompanied by 14+ year old,None,20-30 min,5,Medium,8:00 AM to 12:00 AM,8:00 AM to 12:00 AM
Millennium Falcon: Smugglers Run,Simulator,Children under 7 must be accompanied by 14+ year old,"38"" (97 cm)",30-45 min,5,High,8:00 AM to 12:00 AM,8:00 AM to 12:00 AM
Star Wars: Rise of the Resistance,Dark Ride,Children under 7 must be accompanied by 14+ year old,"40"" (102 cm)",45-75 min,18,High,8:00 AM to 12:00 AM,8:00 AM to 12:00 AM
Peter Pan's Flight,Dark Ride,Children under 7 must be accompanied by 14+ year old,None,40-60 min,3,High,8:00 AM to 12:00 AM,8:00 AM to 12:00 AM
Dumbo the Flying Elephant,Spinning,Children under 7 must be accompanied by 14+ year old,None,15-25 min,2,Medium,8:00 AM to 12:00 AM,8:00 AM to 12:00 AM
King Arthur Carrousel,Carousel,Children under 7 must be accompanied by 14+ year old,None,10-20 min,2,Low,8:00 AM to 12:00 AM,8:00 AM to 12:00 AM
Snow White's Enchanted Wish,Dark Ride,Children under 7 must be accompanied by 14+ year old,None,15-25 min,2,Low,8:00 AM to 12:00 AM,8:00 AM to 12:00 AM
Mr. Toad's Wild Ride,Dark Ride,Children under 7 must be accompanied by 14+ year old,None,15-25 min,2,Medium,8:00 AM to 12:00 AM,8:00 AM to 12:00 AM
Pinocchio's Daring Journey,Dark Ride,Children under 7 must be accompanied by 14+ year old,None,15-25 min,3,Low,8:00 AM to 12:00 AM,8:00 AM to 12:00 AM
Roger Rabbit's Car Toon Spin,Spinning,Children under 7 must be accompanied by 14+ year old,None,25-35 min,4,Medium,8:00 AM to 12:00 AM,8:00 AM to 12:00 AM
It's a Small World,Boat Ride,Children under 7 must be accompanied by 14+ year old,None,25-35 min,15,High,8:00 AM to 12:00 AM,8:00 AM to 12:00 AM
Big Thunder Mountain Railroad,Roller Coaster,Children under 7 must be accompanied by 14+ year old,"40"" (102 cm)",35-45 min,4,High,8:00 AM to 12:00 AM,8:00 AM to 12:00 AM
Alice in Wonderland,Dark Ride,Children under 7 must be accompanied by 14+ year old,None,25-35 min,4,Medium,8:00 AM to 12:00 AM,8:00 AM to 12:00 AM
Storybook Land Canal Boats,Boat Ride,Children under 7 must be accompanied by 14+ year old,None,15-25 min,6,Low,8:00 AM to 12:00 AM,8:00 AM to 12:00 AM
Mickey & Minnie's Runaway Railway,Dark Ride,Children under 7 must be accompanied by 14+ year old,None,30-40 min,5,High,8:00 AM to 12:00 AM,8:00 AM to 12:00 AM
Astro Orbitor,Spinning,Children under 7 must be accompanied by 14+ year old,None,15-25 min,2,Low,8:00 AM to 12:00 AM,8:00 AM to 12:00 AM
Casey Jr. Circus Train,Train Ride,Children under 7 must be accompanied by 14+ year old,None,15-25 min,4,Low,8:00 AM to 12:00 AM,8:00 AM to 12:00 AM
